"Serial #","Building Name","Location","Floor","Installed","Sharp ID #","IP Address","B/W Meter","Colour Meter","Model",,
8505916600,"ITB","A110","1ST","Y",45528,"http://130.113.31.58",653557,38930,"MX-4501N",,
8504370500,"ITB",202,"2nd","Y",50099,"http://130.113.70.112",146121,433,"MX-3501N",,
8502311600,"IWC","ROOM 213","2ND","Y",44924,"http://130.113.35.114",141358,8533,"MX-3501N",,
8500174700,"IWC",213,"2ND","Y",50376,"http://130.113.35.113",738234,4561,"MX-5500N",,
8500774600,"JHE 246 lab","ROOM 246","2ND","Y",45075,"http://130.113.4.6",89445,22857,"MX-3501N",,
9503042200,"JHE A214","2nd","2nd","Y",56058,"http://130.113.117.147",141132,50763,"MX-3100N",,
8508102200,"JOHN HODGKINS","Room A214","2ND","Y",41980,"http://130.113.3.69",593344,24977,"MX-5500N",,
"6500029X00","JOHN HODGKINS","ROOM 201","2ND","Y",41983,"http://130.113.3.24",1241001,100484,"MX-5500N",,
83011412,"JOHN HODGKINS","ROOM 136","1ST","Y",44744,"http://130.113.100.152",17168,,"AR-M207",,
8505491600,"JOHN HODGKINS",306,"3RD","Y",44914,"http://130.113.117.231",367892,22104,"MX-3501N",,
8500880600,"JOHN HODGKINS","ROOM 261","2nd","Y",44981,"http://130.113.117.97",119485,36637,"MX-3501N",,
8505500600,"JOHN HODGKINS",374,"3RD","Y",44989,"http://130.113.3.144",302230,7069,"MX-3501N",,
8500829600,"JOHN HODGKINS",355,"3RD","Y",45005,"http://130.113.100.21",235187,11333,"MX-3501N",,
8500824600,"JOHN HODGKINS","303A","3RD","Y",45015,"http://130.113.100.15",235658,13742,"MX-3501N",,
8505484600,"JOHN HODGKINS",306,"3RD","Y",45020,"http://130.113.117.230",406378,37848,"MX-3501N",,
8504840900,"JOHN HODGKINS",302,"3rd","Y",54063,"http://130.113.3.132",497542,50014,"MX-4501N",,
8507660300,"KENETH TAYLOR HALL","RM 129","1ST","Y",41955,"http://130.113.51.82",137494,2286,"MX-2300N",,
8505104600,"KENETH TAYLOR HALL",129,"1ST","Y",44745,"http://130.113.51.103",325047,81273,"MX-3501N",,
8504149300,"KENETH TAYLOR HALL",226,"2nd","Y",44767,"http://130.113.179.55",535854,14874,"MX-3501N",,
8505109600,"KENETH TAYLOR HALL",319,"3RD","Y",44772,"http://130.113.243.35",435260,40320,"MX-3501N",,
8505445600,"KENETH TAYLOR HALL",426,"2nd","Y",44818,"HTTP://130.113.139.68",508211,20649,"MX-3501N",,
8505962600,"KENETH TAYLOR HALL",725,"7TH","Y",44835,"http://130.113.203.50",430676,5352,"MX-4501N",,
8501636700,"KENETH TAYLOR HALL",527,"5TH","Y",48775,"http://130.113.75.7",824927,45283,"MX-4501N",,
8501601700,"KENETH TAYLOR HALL",627,"6TH","Y",48785,"http://130.113.83.26",700965,541,"MX-4501N",,
8500249800,"KENETH TAYLOR HALL",426,"4TH","Y",50084,"http://130.113.139.90",2361909,10814,"MX-5500N",,
